[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:06 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:06 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:07 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:07 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:07 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:07 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:07 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:07 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:07 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:07 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:07 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:07 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:25:07 UTC] PHP Notice:  Undefined variable: dbname in C:\xampp\htdocs\SCA\adminAgenda.php on line 151
[08-Nov-2019 03:25:07 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:27 UTC] PHP Warning:  mysql_connect(): Access denied for user 'usuario'@'localhost' (using password: YES) in C:\xampp\htdocs\SCA\config.inc.php on line 8
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 106
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:28 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:27:29 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
